Doctor Id,Name,Contact No,Email,Position,Started At,Specialty
93348745,Dr. Cynthia Hammond,474-644-1726,chammond@hospital.org,,2017-11-01,Cardiology Fellow
78830198,Dr. Zoe Scott,,zscott@hospital.org,Fellow,2017-09-09,Oncology Fellow
66324024,Dr. Carolyn Simmons,301-577-4376,,Attending Phys}(ician,07/20/2008,Internal Medicine
13044280,Dr. Keith Salas,,ksalas@hospital.org,Chief of Surgery,1997-11-28,General Surgery
49926765,Dr. William Green,383-253-1647,wgreen@hospital.org,Attending Physician,2009-01-28,Internal Medicine
82809478,Dr. Haley Jennings,509-306-9750,hjennings@hospital.org,Attending Physician,2012-12-06,Internal Medicine
29119811,Dr. Stephanie Black,802-629-5190,sblack@hospital.org,Resident,2024-03-09,Surgery Resident
5217011,Dr. Tina Clayton,892-952-1407,tclayton@hospital.org,Fellow,"Sep 28, 2018",Pulmonary Fellow
23534325,Dr. Jessica Pham,243-780-1702,jpham@hospital.org,Medical Director,2004-12-18,Internal Medicine
79016896,Dr. Kimberly Smith,480-713-5886,ksmith@hospital.org,Attending Physician,2014-05-15,Internal Medicine
75505404,Dr. Shannon Wagner,952-358-9882,swagner@hospital.org,Medical Director,1989-03-17,Internal Medicine
81295677,Dr. Patrick Schultz,656-219-9443,,Medical Director,1987-02-28,Internal Medicine
36176355,Dr. Sydney Hansen,650-977-9288,shansen@hospital.org,Medica[*l Director,1998-01-07,Internal Medicine
68655348,Dr. Carl Farmer,402-754-2927,cfarmer@hospital.org,Attending Physic*$@ian,2006-09-16,Internal Medicine
62876982,Dr. Lisa Barton,893-639-9817,,Chief of Surgery,2000-09-03,General Surgery
25564132,Dr. Allison Mccoy,216-840-8130,amccoy@hospital.org,Chief of Surgery,1989-12-21,General Surgery
37756530,Dr. Nicholas Jenkins,608-629-9019,njenkins@hospital.org,Chief of Surgery,2002-10-27,General Surgery
54365293,Dr. Stacey Smith,254-267-8755,ssmith@hospital.org,Fellow,2017-07-15,Pulmonary Fellow
95325256,Dr. Michael Church,945-694-1333,mchurch@hospital.org,Chief of Surgery,1991-10-26,General Surgery
4115096,Dr. Angela Smith,371-456-8914,asmith@hospital.org,Resident,2023-05-03,Pediatrics Resident
60474316,Dr. Rachel Evans,476-429-7877,revans@hospital.org,Fe}(llow,2017-07-29,Oncology Fellow
31231430,Dr. Karen Becker,,kbecker@hospital.org,Chief of Surgery,2003-10-26,General Surgery
41489357,Dr. Randall French,,rfrench@hospital.org,Medic:al Director,1988-11-24,Internal Medicine
48127457,Dr. Patricia Ellison,486-290-6540,pellison@hospital.org,Medical Director,1997-11-29,Internal Medicine
69947518,Dr. Justin Vaughn,619-299-8204,jvaughn@hospital.org,Chief of Surgery,1997-11-22,General Surgery
79606766,Dr. Ashley Serrano,721-776-3102,aserrano@hospital.org,Fel!?|low,2025-04-07,Pulmonary Fellow
83080341,Dr. Theodore Jackson,450-551-8310,tjackson@hospital.org,Chief of Surgery,1992-09-21,General Surgery
43529203,Dr. Amber Hickman,529-515-5480,ahickman@hospital.org,Fellow,2016-10-13,Pulmonary Fellow
27313587,Dr. Thomas Alvarez,436-925-6794,talvarez@hospital.org,,2003-03-13,General Surgery
60687937,Dr. Christopher Sullivan,564-329-5805,,Fellow,2017-12-27,Cardiology Fellow
19248857,Dr. Kelsey Townsend,782-572-1285,ktownsend@hospital.org,Chief of Surgery,"Oct 09, 1989",General Surgery
84010369,Dr. Charles Wheeler,246-218-4039,cwheeler@hospital.org,,2021-04-04,Oncology Fellow
76136313,Dr. Tammy Wolfe,,twolfe@hospital.org,Chief of Surg){[ery,2001-10-07,General Surgery
26850466,Dr. Holly Green,980-480-6395,hgreen@hospital.org,Attending Physician,2015-05-12,Internal Medicine
1595980,Dr. Dustin Espinoza,813-761-2803,despinoza@hospital.org,Attending Physician,2013-08-07,Internal Medicine
55502242,Dr. Dakota Hoover,370-988-7707,dhoover@hospital.org,Medical Director,1989-07-18,Internal Medicine
32479628,Dr. Deanna Gomez,483-527-3601,dgomez@hospital.org,,1999-08-10,Internal Medicine
3848675,Dr. Austin Hubbard,535-615-6542,ahubbard@hospital.org,Medical Director,2002-07-07,Internal Medicine
92701942,Dr. Kathryn Lamb,680-384-2539,,Medical Director,24-06-2001,Internal Medicine
57361342,Dr. Matthew Graves,925-265-5657,mgraves@hospital.org,Resident,2015-11-21,Pediatrics Resident
65899010,Dr. Andre Shaffer,403-487-3549,ashaffer@hospital.org,,2015-07-16,Internal Medicine Resident
41375958,Dr. Adam Gross,865-611-8219,agross@hospital.org,Resident,2023-03-18,Pediatrics Resident
90422821,Dr. Kristen Williams,219-553-2062,kwilliams@hospital.org,Medical Director,1987-05-10,Internal Medicine
56413376,Dr. Courtney Jones,290-988-8213,cjones@hospital.org,Attending Physician,2013-11-19,Internal Medicine
60109170,Dr. Jennifer Larsen,412-971-4328,jlarsen@hospital.org,Chief of Surgery,2003-04-07,General Surgery
14810462,Dr. Benjamin Lopez,937-674-3738,blopez@hospital.org,Attending Physician,2008-09-30,Internal Medicine
70912820,Dr. Michael Farmer,490-772-7386,mfarmer@hospital.org,Chief of Surgery,2001-08-21,General Surgery
26273155,Dr. John Stanley,582-700-8514,jstanley@hospital.org,,2002-02-08,General Surgery
86891917,Dr. Nicole Bell,798-347-8435,nbell@hospital.org,Medical Director,1989-07-15,Internal Medicine
2179772,Dr. Brandy Hamilton,444-474-5866,bhamilton@hospital.org,Attending Physician,2005-06-12,Internal Medicine
15477699,Dr. Cheryl Morgan,938-841-6651,,Resident,31-01-2020,Pediatrics Resident
24680961,Dr. Charles Roach,449-405-8074,croach@hospital.org,,2016-11-29,Pulmonary Fellow
60472130,Dr. Joshua Davis,772-781-7704,,Chief` of Surgery,1998-02-06,General Surgery
85442509,Dr. Alexandria Cox,594-238-2961,acox@hospital.org,Chief of Surgery,1991-05-07,General Surgery
85721569,Dr. Gene White,464-610-6273,gwhite@hospital.org,Medical Direct[$[or,1989-10-26,Internal Medicine
78835952,Dr. Brian Bryant,,bbryant@hospital.org,Attending Physician,2011-08-17,Internal Medicine
83478345,Dr. Tina Wong,713-897-4489,twong@hospital.org,Medical Director,1993-01-06,Internal Medicine
76023915,Dr. Andrew Johnson,810-297-7734,ajohnson@hospital.org,Chief of Surgery,2002-07-17,General Surgery
68126550,Dr. Matthew Mckee,308-782-6101,mmckee@hospital.org,Chief of Surgery,1985-11-27,General Surgery
14331924,Dr. Alexandra Davis,659-358-5119,adavis@hospital.org,Chief of Surgery,2002-12-21,General Surgery
24310424,Dr. Gregory Cooper,563-435-8635,gcooper@hospital.org,Medical Director,1999-11-06,Internal Medicine
45221144,Dr. Tiffany Sanchez,561-213-6566,tsanchez@hospital.org,Chief of Surgery,2000-07-18,General Surgery
36904623,Dr. Elizabeth White,306-587-6593,ewhite@hospital.org,Fellow,2022-12-10,Pulmonary Fellow
87914843,Dr. Christopher Riddle,,criddle@hospital.org,Attending Physician,12/22/2006,Internal Medicine
97820473,Dr. Brian Johnson,625-899-5371,bjohnson@hospital.org,Attending Physician,2013-02-06,Internal Medicine
43465215,Dr. Amanda King,694-267-3917,aking@hospital.org,Attending Physician,2006-07-02,Internal Medicine
87443729,Dr. Derrick Campos,,dcampos@hospital.org,Fellow,2019-12-10,Cardiology Fellow
27379950,Dr. Matthew Martin,783-521-4226,mmartin@hospital.org,Medical Director,2004-12-02,Internal Medicine
35313318,Dr. Gabriel Rice,283-369-2852,grice@hospital.org,Medical @||Director,1987-10-28,Internal Medicine
59809156,Dr. Jennifer Miller,,jmiller@hospital.org,Medical Director,1989-08-08,Internal Medicine
32936705,Dr. John Klein,570-927-2946,jklein@hospital.org,Fellow,2023-12-28,Pulmonary Fellow
97555362,Dr. Timothy Mason,643-372-4862,tmason@hospital.org,,1989-09-19,Internal Medicine
55337383,Dr. Jeffrey Ferrell,763-661-7794,jferrell@hospital.org,Medical Director,1989-06-12,Internal Medicine
26541305,Dr. Kelly Hall,,khall@hospital.org,Chief of Surgery,1992-07-20,General Surgery
45660546,Dr. Julie Elliott,798-990-1915,jelliott@hospital.org,Fellow,2024-12-24,Cardiology Fellow
54706723,Dr. Michele Walker,811-564-4093,mwalker@hospital.org,Attending Physician,2006.09.20,Internal Medicine
65615523,Dr. Matthew Benitez,286-854-3173,mbenitez@hospital.org,Chie>|f of Surgery,1996-03-12,General Surgery
72630284,Dr. Stephen Davis,208-896-6608,sdavis@hospital.org,Resident,2019-03-05,Surgery Resident
42561181,Dr. Jennifer Brown,757-807-2764,jbrown@hospital.org,Reside=nt,2017-01-11,Internal Medicine Resident
23508056,Dr. Rose Sharp,925-282-7368,rsharp@hospital.org,Medical Director,1994-10-02,Internal Medicine
47250350,Dr. Mike Vasquez,422-390-1695,,Chief of Surgery,1995-01-15,General Surgery
13000979,Dr. Jacob Parsons,229-865-5130,jparsons@hospital.org,Chief of Surgery,2002-11-26,General Surgery
3811859,Dr. Amanda Moore,,amoore@hospital.org,Attending Physician,2012-03-09,Internal Medicine
26569650,Dr. Chase Butler,611-661-3519,cbutler@hospital.org,Attending Physician,2013-03-25,Internal Medicine
34083451,Dr. Lisa Richard,889-202-7375,lrichard@hospital.org,Chief of Surgery,1989-08-31,General Surgery
73902678,Dr. Brenda Parsons,635-298-7346,bparsons@hospital.org,Chief of Surgery,"Feb 02, 1995",General Surgery
74142676,Dr. David Roberts,,droberts@hospital.org,Fellow,2018-04-02,Cardiology Fellow
76354638,Dr. Cassidy Rowe,691-358-4798,crowe@hospital.org,Attending Physician,10/18/2008,Internal Medicine
65944780,Dr. Daniel Gibson,529-506-2841,dgibson@hospital.org,Chief of Surge(ry,1993-03-09,General Surgery
64583033,Dr. Kelli Montoya,932-713-4285,kmontoya@hospital.org,Chief of Surg&ery,2005.03.22,General Surgery
46969753,Dr. Jonathan Mason,329-826-9763,jmason@hospital.org,Chief of Surgery,2001-11-27,General Surgery
13166055,Dr. Sarah Cardenas,893-845-9407,scardenas@hospital.org,Chief of Surgery,2003-08-26,General Surgery
47903634,Dr. Robert Rodriguez,504-316-7416,rrodriguez@hospital.org,Medical @+Director,2002-02-17,Internal Medicine
52058467,Dr. Michael Hall,901-323-2927,mhall@hospital.org,Attending Physician,2008-08-17,Internal Medicine
50225945,Dr. Robert Clarke,569-811-8043,rclarke@hospital.org,Chief of Surgery,2001-02-08,General Surgery
86836748,Dr. Lisa Richmond,291-643-5254,lrichmond@hospital.org,Medical Director,2004-09-25,Internal Medicine
47638156,Dr. Gregory Hunt,596-393-5055,ghunt@hospital.org,Medical Director,1996-07-28,Internal Medicine
80326548,Dr. Andrea Martin,623-516-2841,amartin@hospital.org,Chief of Surgery,2002-07-03,General Surgery
81955788,Dr. Darrell Scott,622-624-4214,dscott@hospital.org,Attending Physician,04/10/2012,Internal Medicine
51231258,Dr. Melissa Hooper,687-698-4002,mhooper@hospital.org,,2009-05-01,Internal Medicine
48400165,Dr. Andres Vasquez,659-278-9220,,Chief of Surgery,1997-02-05,General Surgery
51210311,Dr. Spencer Jimenez,963-442-8322,sjimenez@hospital.org,Resident,2021-05-18,Internal Medicine Resident
38364599,Dr. Lisa Lopez,288-387-4699,llopez@hospital.org,Chief of Surgery,1987-03-11,General Surgery
26782827,Dr. Douglas Clarke,409-910-1690,dclarke@hospital.org,Medical Director,2001-02-21,Internal Medicine
67530469,Dr. Jesus Moreno,317-750-5013,jmoreno@hospital.org,Resident,2019-03-07,Internal Medicine Resident
45574392,Dr. James White,484-204-7585,jwhite@hospital.org,Chief of Surgery,2003-03-04,General Surgery
2447845,Dr. Arthur Allen,232-201-6442,aallen@hospital.org,Fellow,2017-05-25,Pulmonary Fellow
69020641,Dr. Diana Payne,531-450-7252,dpayne@hospital.org,,2004-09-11,Internal Medicine
16644455,Dr. Sarah Owen,350-813-6650,sowen@hospital.org,Chief of Surgery,2003-12-10,General Surgery
32362775,Dr. Jenny Gibson,535-531-1122,jgibson@hospital.org,Medical Director,1988-03-31,Internal Medicine
51420452,Dr. Wanda Myers,435-794-8527,wmyers@hospital.org,Attending Physician,2008-05-11,Internal Medicine
55817108,Dr. Jose Roberts,248-536-1077,jroberts@hospital.org,Medical Director,2003-06-14,Internal Medicine
24862292,Dr. Cheryl Wilson,841-217-9566,cwilson@hospital.org,Fellow,2016-03-09,Cardiology Fellow
14935665,Dr. Cheryl Lopez,257-942-8900,clopez@hospital.org,Attending Physician,2008-09-24,Internal Medicine
2962189,Dr. Shane Perkins,701-208-1168,sperkins@hospital.org,A_$ttending Physician,2014-09-30,Internal Medicine
30558369,Dr. Reginald Brandt,548-588-3846,rbrandt@hospital.org,Chief of Surgery,2003-01-20,General Surgery
85010056,Dr. Austin Swanson,288-997-6323,aswanson@hospital.org,Fellow,2020-01-04,Pulmonary Fellow
96271109,Dr. Debra Phillips,342-548-7498,dphillips@hospital.org,Chief of Surgery,1998-12-15,General Surgery
63518807,Dr. Kimberly Black,532-636-2540,kblack@hospital.org,Resident,2024-12-26,Surgery Resident
14238411,Dr. Alan Bradford,254-373-2450,abradford@hospital.org,Resident,2020-01-28,Internal Medicine Resident
46237298,Dr. Matthew Thomas,391-613-4745,mthomas@hospital.org,Chief of Surgery,1993-06-12,General Surgery
9354875,Dr. Cheryl Johnson,623-835-7132,cjohnson@hospital.org,Re?/sident,2024-05-15,Internal Medicine Resident
6416314,Dr. Brian Andrade,829-365-3796,bandrade@hospital.org,Fellow,2019-10-09,Oncology Fellow
93685391,Dr. Kathy Alexander,422-712-3273,kalexander@hospital.org,Chief of Surgery,1995-05-30,General Surgery
74545276,Dr. Jeffrey Stevens,778-747-2107,jstevens@hospital.org,Chief of Surgery,1998-11-09,General Surgery
39441928,Dr. Ronald Duffy,205-678-3002,rduffy@hospital.org,Attending Physician,2014-12-26,Internal Medicine
83657147,Dr. Danielle Riley,915-566-7677,driley@hospital.org,Medical Director,1991.11.20,Internal Medicine
60688199,Dr. Derek Garcia,337-882-4298,dgarcia@hospital.org,Attending Physi={+cian,2013-08-28,Internal Medicine
49343443,Dr. Jeremy Robinson,540-597-9431,jrobinson@hospital.org,Attending Physician,2008-02-29,Internal Medicine
37816069,Dr. Allen Walsh,508-585-7848,awalsh@hospital.org,,2011-07-21,Internal Medicine
73454966,Dr. Hunter Edwards,743-661-2233,hedwards@hospital.org,,1989-08-27,Internal Medicine
85607236,Dr. Travis Brown,522-376-4319,tbrown@hospital.org,Attending Physician,2008-03-24,Internal Medicine
57210758,Dr. Catherine Pacheco,718-873-2846,cpacheco@hospital.org,Chief of Surgery,1992-08-31,General Surgery
97251093,Dr. David Middleton,974-671-6389,dmiddleton@hospital.org,Attending P&hysician,2006.12.10,Internal Medicine
65272457,Dr. Cynthia Wright,669-679-1930,cwright@hospital.org,Fellow,2025-02-10,Pulmonary Fellow
98511056,Dr. Debbie Lawrence,623-982-8419,dlawrence@hospital.org,Fello!#!w,2016-07-22,Cardiology Fellow
78941282,Dr. Henry Booth,293-627-9823,hbooth@hospital.org,Medical Director,1995-04-01,Internal Medicine
90134505,Dr. Stacey Wheeler,933-953-5952,swheeler@hospital.org,Medical Director,1999-12-02,Internal Medicine
12676002,Dr. Michael Brooks,217-614-6549,mbrooks@hospital.org,Fellow,2016-03-19,Cardiology Fellow
26416289,Dr. Daniel Simmons,921-439-4570,,Attending Physician,2013-05-12,Internal Medicine
38235672,Dr. Samantha Smith,346-223-3348,,Attending Physician,2009-04-04,Internal Medicine
77254542,Dr. Meghan Morgan,703-872-3246,mmorgan@hospital.org,Chief of S*%urgery,1989-02-12,General Surgery
91092357,Dr. Erika Bell,,ebell@hospital.org,Resident,2016-03-14,Surgery Resident
70740738,Dr. Scott Rosario,554-887-2985,srosario@hospital.org,,1999-02-15,Internal Medicine
36203563,Dr. Desiree Smith,,dsmith@hospital.org,Attending Physician,2013-03-22,Internal Medicine
95935576,Dr. Misty Dudley,235-517-5683,mdudley@hospital.org,Resident,2023-07-19,Internal Medicine Resident
81645378,Dr. Henry Meyers,,hmeyers@hospital.org,Fellow,2021-02-20,Pulmonary Fellow
90146687,Dr. George Shepherd,369-206-2603,gshepherd@hospital.org,Medical Director,1985-08-16,Internal Medicine
85402490,Dr. David Romero,,dromero@hospital.org,Fellow,2024-05-26,Pulmonary Fellow
31236562,Dr. Stephen Arnold,598-838-1618,sarnold@hospital.org,Medical Director,1997-01-11,Internal Medicine
26833761,Dr. Gregory Beasley,283-573-9469,,Chief of Surgery,2000-04-18,General Surgery
20262745,Dr. Emily Caldwell,400-272-6355,ecaldwell@hospital.org,Medical Direct}or,1998-08-07,Internal Medicine
74177732,Dr. Jason Richardson,955-717-5636,jrichardson@hospital.org,Medical Director,2001-02-13,Internal Medicine
67449932,Dr. Jonathan Kennedy,634-634-4156,jkennedy@hospital.org,Medical Director,1991.07.11,Internal Medicine
49656154,Dr. Nicholas Booker,,nbooker@hospital.org,Medical Director,2001-08-12,Internal Medicine
32507969,Dr. Lucas Mclean,663-419-3321,,At=`^tending Physician,2010-09-07,Internal Medicine
70727433,Dr. Gregory Alexander,820-455-2299,,Attending Physician,2010-04-25,Internal Medicine
67318965,Dr. Rodney Horton,631-710-6100,rhorton@hospital.org,Fellow,2021-11-29,Oncology Fellow
76756807,Dr. Bernard Jones,212-879-1998,bjones@hospital.org,Attending Physician,2006-01-08,Internal Medicine
65129789,Dr. Bethany Diaz,361-672-2746,bdiaz@hospital.org,Chi@?ef of Surgery,1989-12-30,General Surgery
46780056,Dr. John Boone,979-298-8905,jboone@hospital.org,Chief of Surgery,1999-07-08,General Surgery
26534806,Dr. Melinda Dudley,808-946-5904,mdudley@hospital.org,Fellow,2022-05-11,Pulmonary Fellow
16552451,Dr. Nicholas Lambert,908-457-1785,nlambert@hospital.org,,2010-02-22,Internal Medicine
28767463,Dr. Scott Sexton,857-297-4103,ssexton@hospital.org,Medical Director,1987-07-09,Internal Medicine
46690067,Dr. Michael Thompson,839-855-8342,mthompson@hospital.org,Attending Physician,2013-04-07,Internal Medicine
1759971,Dr. Alicia Chapman,757-365-3776,achapman@hospital.org,Attending Physician,2007-06-24,Internal Medicine
57364083,Dr. Timothy Harrison,637-646-3855,tharrison@hospital.org,Attending Physician,2007-12-09,Internal Medicine
98323355,Dr. Lori Flowers,464-668-7010,lflowers@hospital.org,Attending Physician,2013-12-22,Internal Medicine
86456534,Dr. Brianna Scott,221-713-1899,bscott@hospital.org,Medical Director,1996-10-24,Internal Medicine
11390042,Dr. Victor Sampson,927-232-8694,vsampson@hospital.org,Medical Director,2000-01-25,Internal Medicine
42616744,Dr. Jared Kelly,988-673-2962,jkelly@hospital.org,Chief of Surgery,1986-08-06,General Surgery
40363178,Dr. Larry Gray,528-273-7361,lgray@hospital.org,Resident,2018-09-26,Surgery Resident
67421944,Dr. Francis Gaines,403-703-1398,fgaines@hospital.org,Resident,05/19/2022,Surgery Resident
9784827,Dr. Donald Garcia,,dgarcia@hospital.org,Attending Phy#]|sician,2011-11-04,Internal Medicine
79139297,Dr. Alexandria Wagner,745-233-3655,awagner@hospital.org,Medical Director,1986-07-02,Internal Medicine
29902415,Dr. Diane Woods,743-607-6705,dwoods@hospital.org,Resident,2017-04-25,Pediatrics Resident
66144839,Dr. Shaun Hall,396-555-1862,shall@hospital.org,Medical Director,1987-02-03,Internal Medicine
49259686,Dr. Brittany Haynes,749-439-9205,bhaynes@hospital.org,Resident,2016-05-23,Surgery Resident
45786271,Dr. Nancy Aguilar,935-782-1406,naguilar@hospital.org,Fellow,2024-02-06,Pulmonary Fellow
46682225,Dr. Douglas Anderson,371-248-6271,danderson@hospital.org,Medical Director,1997.03.14,Internal Medicine
99476284,Dr. Robert Jackson,,,Attending Physician,2006-09-17,Internal Medicine
62009570,Dr. Frank Wells,686-902-7164,fwells@hospital.org,Attending Physician,"May 15, 2007",Internal Medicine
9659375,Dr. Carrie Davis,327-996-7126,,Medical Directo.r,12-09-1991,Internal Medicine
94774893,Dr. Cheryl Gray,841-478-8322,cgray@hospital.org,Chief of _Surgery,1992-04-15,General Surgery
59709678,Dr. Roger Werner,511-764-5227,rwerner@hospital.org,Chief of Surgery,2002-05-31,General Surgery
52980777,Dr. Anthony Jackson,609-523-1370,ajackson@hospital.org,Fellow,2023-05-09,Cardiology Fellow
3157425,Dr. Ann Harris,510-322-5723,aharris@hospital.org,Resident,2018-01-10,Surgery Resident
49194301,Dr. Karen Mercer,844-930-7285,kmercer@hospital.org,,2007-05-06,Internal Medicine
30331937,Dr. Bridget Gray,909-920-5623,bgray@hospital.org,Attending Physician,2008-12-20,Internal Medicine
21488299,Dr. Matthew Potts,818-253-5590,mpotts@hospital.org,Fellow,2024-01-07,Pulmonary Fellow
34950346,Dr. Joseph Richardson,321-516-4276,jrichardson@hospital.org,Fello}w,2022-04-22,Pulmonary Fellow
21884936,Dr. Jeanette Miller,446-811-6157,jmiller@hospital.org,Medical Director,1991-04-17,Internal Medicine
55079439,Dr. William Gardner,835-336-9727,wgardner@hospital.org,Res>)=ident,2017-03-12,Surgery Resident
55364227,Dr. Kathryn Cox,885-552-2617,kcox@hospital.org,Medical Director,2003-12-02,Internal Medicine
42588599,Dr. Megan Moore,243-300-5054,mmoore@hospital.org,Chief of Surgery,1995-08-13,General Surgery
1095108,Dr. William Rogers,268-212-2772,wrogers@hospital.org,Attending Physician,2011-07-17,Internal Medicine
99544175,Dr. Wayne Miller,851-852-2010,,Fellow,"Mar 30, 2020",Pulmonary Fellow
39836197,Dr. Ashley Smith,,asmith@hospital.org,,1998-03-24,General Surgery
31917863,Dr. Richard Smith,663-596-8885,rsmith@hospital.org,Med*ical Director,1987-08-11,Internal Medicine
84799150,Dr. Ryan Morgan,448-701-6688,rmorgan@hospital.org,Medical Director,2003-09-06,Internal Medicine
16529641,Dr. Linda Tanner,307-604-9231,,Attending Physician,28-07-2008,Internal Medicine
36703626,Dr. Zachary Fleming,324-270-8684,zfleming@hospital.org,Attending Physician,2008-04-07,Internal Medicine
86536049,Dr. Robert Morse,347-238-3865,rmorse@hospital.org,Chief of Surgery,1987-09-25,General Surgery
20188736,Dr. Adrian Holmes,617-850-5451,aholmes@hospital.org,Resident,2024-10-17,Surgery Resident
21954303,Dr. Shelby Manning,,smanning@hospital.org,Fellow,2015-12-17,Pulmonary Fellow
50149682,Dr. James Perry,861-668-6368,jperry@hospital.org,Resident,2024-04-13,Internal Medicine Resident
17139246,Dr. Bailey Odom,,bodom@hospital.org,,2012-09-25,Internal Medicine
63331506,Dr. Manuel Nelson,632-632-3407,mnelson@hospital.org,Medical Director,1995-05-24,Internal Medicine
88351597,Dr. Dana Smith,897-722-4743,dsmith@hospital.org,Medical Director,1985-07-12,Internal Medicine
14367392,Dr. Melissa Rogers,630-304-4138,,Attending Physician,2014-03-13,Internal Medicine
58602589,Dr. Stacy Ward,664-364-2660,sward@hospital.org,Chief of Surgery,1998-07-07,General Surgery
60587796,Dr. Holly Cisneros,826-618-2000,hcisneros@hospital.org,Med|:+ical Director,2002-01-03,Internal Medicine
226730,Dr. Gabriela Davis,464-584-2674,gdavis@hospital.org,Resident,"Feb 21, 2016",Surgery Resident
21927208,Dr. John Humphrey,974-721-8515,jhumphrey@hospital.org,,2022-02-18,Surgery Resident
71446952,Dr. Austin Singh,583-608-7609,asingh@hospital.org,Resident,2021-09-29,Surgery Resident
38175176,Dr. William Morrow,633-541-1550,wmorrow@hospital.org,Resident,2020-08-10,Surgery Resident
12144290,Dr. David Raymond,430-646-2662,draymond@hospital.org,Chief of Surgery,1999-05-27,General Surgery
48521164,Dr. Benjamin Lee,722-753-9133,blee@hospital.org,Resident,2018-11-23,Internal Medicine Resident
